set,polarity,kind,dot
Set 1,Pos,target,921
Set 1,Pos,target,999
Set 1,Pos,target,509
Set 1,Pos,target,397
Set 1,Pos,target,986
Set 1,Pos,target,561
Set 1,Pos,target,996
Set 1,Pos,target,768
Set 1,Pos,target,996
Set 1,Pos,target,977
Set 1,Pos,target,619
Set 1,Pos,target,584
Set 1,Pos,target,704
Set 1,Pos,target,758
Set 1,Pos,target,887
Set 1,Pos,target,995
Set 1,Pos,target,824
Set 1,Pos,target,913
Set 1,Pos,target,999
Set 1,Pos,target,886
Set 1,Pos,target,632
Set 1,Pos,decoy,34
Set 1,Pos,target,897
Set 1,Pos,target,792
Set 1,Pos,decoy,82
Set 1,Pos,target,220
Set 1,Pos,target,759
Set 1,Pos,target,810
Set 1,Pos,target,619
Set 1,Pos,target,669
Set 1,Pos,target,876
Set 1,Pos,target,984
Set 1,Pos,target,996
Set 1,Pos,target,241
Set 1,Pos,target,626
Set 1,Pos,target,995
Set 1,Pos,decoy,109
Set 1,Pos,target,783
Set 1,Pos,target,995
Set 1,Pos,target,290
Set 1,Pos,target,218
Set 1,Pos,target,994
Set 1,Pos,target,744
Set 1,Pos,target,836
Set 1,Pos,decoy,656
Set 1,Pos,target,831
Set 1,Pos,target,996
Set 1,Pos,target,958
Set 1,Pos,target,722
Set 1,Pos,target,987
Set 1,Pos,target,996
Set 1,Pos,target,994
Set 1,Pos,target,991
Set 1,Pos,target,827
Set 1,Pos,target,707
Set 1,Pos,target,721
Set 1,Pos,target,614
Set 1,Pos,target,555
Set 1,Pos,target,933
Set 1,Pos,target,924
Set 1,Pos,target,620
Set 1,Pos,target,998
Set 1,Pos,target,945
Set 1,Pos,target,566
Set 1,Pos,target,925
Set 1,Pos,target,739
Set 1,Pos,target,810
Set 1,Pos,target,998
Set 1,Pos,target,973
Set 1,Pos,target,776
Set 1,Pos,target,998
Set 1,Pos,target,542
Set 1,Pos,target,876
Set 1,Pos,target,860
Set 1,Pos,target,976
Set 1,Pos,target,40
Set 1,Pos,target,687
Set 1,Pos,target,876
Set 1,Pos,target,977
Set 1,Pos,target,994
Set 1,Pos,target,994
Set 1,Pos,target,964
Set 1,Pos,target,848
Set 1,Pos,target,987
Set 1,Pos,target,991
Set 1,Pos,target,896
Set 1,Pos,target,987
Set 1,Pos,target,996
Set 1,Pos,target,661
Set 1,Pos,target,994
Set 1,Pos,target,262
Set 1,Pos,target,990
Set 1,Pos,target,632
Set 1,Pos,target,581
Set 1,Pos,target,675
